a1 a1
a2 a2
a3 a3
a4 a4
a5 a5
ai1 ai1
ai2 ai2
ai3 ai3
ai4 ai4
ai5 ai5
an1 an1
an2 an2
an3 an3
an4 an4
an5 an5
ang1 ang1
ang2 ang2
ang3 ang3
ang4 ang4
ang5 ang5
ao1 ao1
ao2 ao2
ao3 ao3
ao4 ao4
ao5 ao5
sun4 s uen4
sun5 s uen5
suo1 s uo1
suo2 s uo2
suo3 s uo3
suo4 s uo4
suo5 s uo5
ta1 t a1
ta2 t a2
ta3 t a3
ta4 t a4
ta5 t a5
tai1 t ai1
tai2 t ai2
tai3 t ai3
tai4 t ai4
tai5 t ai5
tan1 t an1
tan2 t an2
tan3 t an3
tan4 t an4
tan5 t an5
tang1 t ang1
tang2 t ang2
tang3 t ang3
tang4 t ang4
tang5 t ang5
tao1 t ao1
tao2 t ao2
tao3 t ao3
tao4 t ao4
tao5 t ao5
te1 t e1
te2 t e2
te3 t e3
te4 t e4
te5 t e5
tei1 t ei1
tei2 t ei2
tei3 t ei3
tei4 t ei4
tei5 t ei5
teng1 t eng1
teng2 t eng2
teng3 t eng3
teng4 t eng4
teng5 t eng5
ti1 t i1
ti2 t i2
ti3 t i3
ti4 t i4
ti5 t i5
tian1 t ian1
tian2 t ian2
tian3 t ian3
tian4 t ian4
tian5 t ian5
tiao1 t iao1
tiao2 t iao2
tiao3 t iao3
tiao4 t iao4
tiao5 t iao5
tie1 t ie1
tie2 t ie2
tie3 t ie3
tie4 t ie4
tie5 t ie5
ting1 t ing1
ting2 t ing2
ting3 t ing3
ting4 t ing4
ting5 t ing5
tong1 t ong1
tong2 t ong2
tong3 t ong3
tong4 t ong4
tong5 t ong5
tou1 t ou1
tou2 t ou2
tou3 t ou3
tou4 t ou4
tou5 t ou5
tu1 t u1
tu2 t u2
tu3 t u3
tu4 t u4
tu5 t u5
tuan1 t uan1
tuan2 t uan2
tuan3 t uan3
tuan4 t uan4
tuan5 t uan5
tui1 t uei1
tui2 t uei2
tui3 t uei3
tui4 t uei4
tui5 t uei5
tun1 t uen1
tun2 t uen2
tun3 t uen3
tun4 t uen4
tun5 t uen5
tuo1 t uo1
tuo2 t uo2
tuo3 t uo3
tuo4 t uo4
tuo5 t uo5
wa1 w ua1
wa2 w ua2
wa3 w ua3
wa4 w ua4
wa5 w ua5
wai1 w uai1
wai2 w uai2
wai3 w uai3
wai4 w uai4
wai5 w uai5
wan1 w uan1
wan2 w uan2
wan3 w uan3
wan4 w uan4
wan5 w uan5
wang1 w uang1
wang2 w uang2
wang3 w uang3
wang4 w uang4
wang5 w uang5
wei1 w uei1
wei2 w uei2
wei3 w uei3
wei4 w uei4
wei5 w uei5
wen1 w uen1
wen2 w uen2
wen3 w uen3
wen4 w uen4
wen5 w uen5
weng1 w uen1
weng2 w uen2
weng3 w uen3
weng4 w uen4
weng5 w uen5
wo1 w uo1
wo2 w uo2
wo3 w uo3
wo4 w uo4
wo5 w uo5
wu1 w u1
wu2 w u2
wu3 w u3
wu4 w u4
wu5 w u5
xi1 x i1
xi2 x i2
xi3 x i3
xi4 x i4
xi5 x i5
xia1 x ia1
xia2 x ia2
xia3 x ia3
xia4 x ia4
xia5 x ia5
xian1 x ian1
xian2 x ian2
xian3 x ian3
xian4 x ian4
xian5 x ian5
xiang1 x iang1
xiang2 x iang2
xiang3 x iang3
xiang4 x iang4
xiang5 x iang5
xiao1 x iao1
xiao2 x iao2
xiao3 x iao3
xiao4 x iao4
xiao5 x iao5
xie1 x ie1
xie2 x ie2
xie3 x ie3
xie4 x ie4
xie5 x ie5
xin1 x in1
xin2 x in2
xin3 x in3
xin4 x in4
xin5 x in5
xing1 x ing1
xing2 x ing2
xing3 x ing3
xing4 x ing4
xing5 x ing5
xiong1 x iong1
xiong2 x iong2
xiong3 x iong3
xiong4 x iong4
xiong5 x iong5
xiu1 x iou1
xiu2 x iou2
xiu3 x iou3
xiu4 x iou4
xiu5 x iou5
xu1 x v1
xu2 x v2
xu3 x v3
xu4 x v4
xu5 x v5
xuan1 x van1
xuan2 x van2
xuan3 x van3
xuan4 x van4
xuan5 x van5
xue1 x ve1
xue2 x ve2
xue3 x ve3
xue4 x ve4
xue5 x ve5
xun1 x vn1
xun2 x vn2
xun3 x vn3
xun4 x vn4
xun5 x vn5
ya1 y ia1
ya2 y ia2
ya3 y ia3
ya4 y ia4
ya5 y ia5
yan1 y ian1
yan2 y ian2
yan3 y ian3
yan4 y ian4
yan5 y ian5
yang1 y iang1
yang2 y iang2
yang3 y iang3
yang4 y iang4
yang5 y iang5
yao1 y iao1
yao2 y iao2
yao3 y iao3
yao4 y iao4
yao5 y iao5
ye1 y ie1
ye2 y ie2
ye3 y ie3
ye4 y ie4
ye5 y ie5
yi1 y i1
yi2 y i2
yi3 y i3
yi4 y i4
yi5 y i5
yin1 y in1
yin2 y in2
yin3 y in3
yin4 y in4
yin5 y in5
ying1 y ing1
ying2 y ing2
ying3 y ing3
ying4 y ing4
ying5 y ing5
yo1 y iou1
yo2 y iou2
yo3 y iou3
yo4 y iou4
yo5 y iou5
yong1 y iong1
yong2 y iong2
yong3 y iong3
yong4 y iong4
yong5 y iong5
you1 y iou1
you2 y iou2
you3 y iou3
you4 y iou4
you5 y iou5
yu1 y v1
yu2 y v2
yu3 y v3
yu4 y v4
yu5 y v5
yuan1 y van1
yuan2 y van2
yuan3 y van3
yuan4 y van4
yuan5 y van5
yue1 y ve1
yue2 y ve2
yue3 y ve3
yue4 y ve4
yue5 y ve5
yun1 y vn1
yun2 y vn2
yun3 y vn3
yun4 y vn4
yun5 y vn5
za1 z a1
za2 z a2
za3 z a3
za4 z a4
za5 z a5
zai1 z ai1
zai2 z ai2
zai3 z ai3
zai4 z ai4
zai5 z ai5
zan1 z an1
zan2 z an2
zan3 z an3
zan4 z an4
zan5 z an5
zang1 z ang1
zang2 z ang2
zang3 z ang3
zang4 z ang4
zang5 z ang5
zao1 z ao1
zao2 z ao2
zao3 z ao3
zao4 z ao4
zao5 z ao5
ze1 z e1
ze2 z e2
ze3 z e3
ze4 z e4
ze5 z e5
zei1 z ei1
zei2 z ei2
zei3 z ei3
zei4 z ei4
zei5 z ei5
zen1 z en1
zen2 z en2
zen3 z en3
zen4 z en4
zen5 z en5
zeng1 z eng1
zeng2 z eng2
zeng3 z eng3
zeng4 z eng4
zeng5 z eng5
zha1 zh a1
zha2 zh a2
zha3 zh a3
zha4 zh a4
zha5 zh a5
zhai1 zh ai1
zhai2 zh ai2
zhai3 zh ai3
zhai4 zh ai4
zhai5 zh ai5
zhan1 zh an1
zhan2 zh an2
zhan3 zh an3
zhan4 zh an4
zhan5 zh an5
zhang1 zh ang1
zhang2 zh ang2
zhang3 zh ang3
zhang4 zh ang4
zhang5 zh ang5
zhao1 zh ao1
zhao2 zh ao2
zhao3 zh ao3
zhao4 zh ao4
zhao5 zh ao5
zhe1 zh e1
zhe2 zh e2
zhe3 zh e3
zhe4 zh e4
zhe5 zh e5
zhei1 zh ei1
zhei2 zh ei2
zhei3 zh ei3
zhei4 zh ei4
zhei5 zh ei5
zhen1 zh en1
zhen2 zh en2
zhen3 zh en3
zhen4 zh en4
zhen5 zh en5
zheng1 zh eng1
zheng2 zh eng2
zheng3 zh eng3
zheng4 zh eng4
zheng5 zh eng5
zhi1 zh iii1
zhi2 zh iii2
zhi3 zh iii3
zhi4 zh iii4
zhi5 zh iii5
zhong1 zh ong1
zhong2 zh ong2
zhong3 zh ong3
zhong4 zh ong4
zhong5 zh ong5
zhou1 zh ou1
zhou2 zh ou2
zhou3 zh ou3
zhou4 zh ou4
zhou5 zh ou5
zhu1 zh u1
zhu2 zh u2
zhu3 zh u3
zhu4 zh u4
zhu5 zh u5
zhua1 zh ua1
zhua2 zh ua2
zhua3 zh ua3
zhua4 zh ua4
zhua5 zh ua5
zhuai1 zh uai1
zhuai2 zh uai2
zhuai3 zh uai3
zhuai4 zh uai4
zhuai5 zh uai5
zhuan1 zh uan1
zhuan2 zh uan2
zhuan3 zh uan3
zhuan4 zh uan4
zhuan5 zh uan5
zhuang1 zh uang1
zhuang2 zh uang2
zhuang3 zh uang3
zhuang4 zh uang4
zhuang5 zh uang5
zhui1 zh uei1
zhui2 zh uei2
zhui3 zh uei3
zhui4 zh uei4
zhui5 zh uei5
zhun1 zh uen1
zhun2 zh uen2
zhun3 zh uen3
zhun4 zh uen4
zhun5 zh uen5
zhuo1 zh uo1
zhuo2 zh uo2
zhuo3 zh uo3
zhuo4 zh uo4
zhuo5 zh uo5
zi1 z ii1
zi2 z ii2
zi3 z ii3
zi4 z ii4
zi5 z ii5
zong1 z ong1
zong2 z ong2
zong3 z ong3
zong4 z ong4
zong5 z ong5
zou1 z ou1
zou2 z ou2
zou3 z ou3
zou4 z ou4
zou5 z ou5
zu1 z u1
zu2 z u2
zu3 z u3
zu4 z u4
zu5 z u5
zuan1 z uan1
zuan2 z uan2
zuan3 z uan3
zuan4 z uan4
zuan5 z uan5
zui1 z uei1
zui2 z uei2
zui3 z uei3
zui4 z uei4
zui5 z uei5
zun1 z uen1
zun2 z uen2
zun3 z uen3
zun4 z uen4
zun5 z uen5
zuo1 z uo1
zuo2 z uo2
zuo3 z uo3
zuo4 z uo4
zuo5 z uo5
ar1 a1 rr
ar2 a2 rr
ar3 a3 rr
ar4 a4 rr
ar5 a5 rr
air1 ai1 rr
air2 ai2 rr
air3 ai3 rr
air4 ai4 rr
air5 ai5 rr
anr1 an1 rr
anr2 an2 rr
anr3 an3 rr
anr4 an4 rr
anr5 an5 rr
angr1 ang1 rr
angr2 ang2 rr
angr3 ang3 rr
angr4 ang4 rr
angr5 ang5 rr
aor1 ao1 rr
aor2 ao2 rr
aor3 ao3 rr
aor4 ao4 rr
aor5 ao5 rr
bar1 b a1 rr
bar2 b a2 rr
bar3 b a3 rr
bar4 b a4 rr
bar5 b a5 rr
bair1 b ai1 rr
bair2 b ai2 rr
bair3 b ai3 rr
bair4 b ai4 rr
bair5 b ai5 rr
banr1 b an1 rr
banr2 b an2 rr
banr3 b an3 rr
banr4 b an4 rr
banr5 b an5 rr
bangr1 b ang1 rr
bangr2 b ang2 rr
bangr3 b ang3 rr
bangr4 b ang4 rr
bangr5 b ang5 rr
baor1 b ao1 rr
baor2 b ao2 rr
baor3 b ao3 rr
baor4 b ao4 rr
baor5 b ao5 rr
beir1 b ei1 rr
beir2 b ei2 rr
beir3 b ei3 rr
beir4 b ei4 rr
beir5 b ei5 rr
benr1 b en1 rr
benr2 b en2 rr
benr3 b en3 rr
benr4 b en4 rr
benr5 b en5 rr
bengr1 b eng1 rr
bengr2 b eng2 rr
bengr3 b eng3 rr
bengr4 b eng4 rr
bengr5 b eng5 rr
bir1 b i1 rr
bir2 b i2 rr
bir3 b i3 rr
bir4 b i4 rr
bir5 b i5 rr
bianr1 b ian1 rr
bianr2 b ian2 rr
bianr3 b ian3 rr
bianr4 b ian4 rr
bianr5 b ian5 rr
biaor1 b iao1 rr
biaor2 b iao2 rr
biaor3 b iao3 rr
biaor4 b iao4 rr
biaor5 b iao5 rr
bier1 b ie1 rr
bier2 b ie2 rr
bier3 b ie3 rr
bier4 b ie4 rr
bier5 b ie5 rr
binr1 b in1 rr
binr2 b in2 rr
binr3 b in3 rr
binr4 b in4 rr
binr5 b in5 rr
bingr1 b ing1 rr
bingr2 b ing2 rr
bingr3 b ing3 rr
bingr4 b ing4 rr
bingr5 b ing5 rr
bor1 b o1 rr
bor2 b o2 rr
bor3 b o3 rr
bor4 b o4 rr
bor5 b o5 rr
bur1 b u1 rr
bur2 b u2 rr
bur3 b u3 rr
bur4 b u4 rr
bur5 b u5 rr
car1 c a1 rr
car2 c a2 rr
car3 c a3 rr
car4 c a4 rr
car5 c a5 rr
cair1 c ai1 rr
cair2 c ai2 rr
cair3 c ai3 rr
cair4 c ai4 rr
cair5 c ai5 rr
canr1 c an1 rr
canr2 c an2 rr
canr3 c an3 rr
canr4 c an4 rr
canr5 c an5 rr
cangr1 c ang1 rr
cangr2 c ang2 rr
cangr3 c ang3 rr
cangr4 c ang4 rr
cangr5 c ang5 rr
caor1 c ao1 rr
caor2 c ao2 rr
caor3 c ao3 rr
caor4 c ao4 rr
caor5 c ao5 rr
cer1 c e1 rr
cer2 c e2 rr
cer3 c e3 rr
cer4 c e4 rr
cer5 c e5 rr
cenr1 c en1 rr
cenr2 c en2 rr
cenr3 c en3 rr
cenr4 c en4 rr
cenr5 c en5 rr
cengr1 c eng1 rr
cengr2 c eng2 rr
cengr3 c eng3 rr
cengr4 c eng4 rr
cengr5 c eng5 rr
char1 ch a1 rr
char2 ch a2 rr
char3 ch a3 rr
char4 ch a4 rr
char5 ch a5 rr
chair1 ch ai1 rr
chair2 ch ai2 rr
chair3 ch ai3 rr
chair4 ch ai4 rr
chair5 ch ai5 rr
chanr1 ch an1 rr
chanr2 ch an2 rr
chanr3 ch an3 rr
chanr4 ch an4 rr
chanr5 ch an5 rr
changr1 ch ang1 rr
changr2 ch ang2 rr
changr3 ch ang3 rr
changr4 ch ang4 rr
changr5 ch ang5 rr
chaor1 ch ao1 rr
chaor2 ch ao2 rr
chaor3 ch ao3 rr
chaor4 ch ao4 rr
chaor5 ch ao5 rr
cher1 ch e1 rr
cher2 ch e2 rr
cher3 ch e3 rr
cher4 ch e4 rr
cher5 ch e5 rr
chenr1 ch en1 rr
chenr2 ch en2 rr
chenr3 ch en3 rr
chenr4 ch en4 rr
chenr5 ch en5 rr
chengr1 ch eng1 rr
chengr2 ch eng2 rr
chengr3 ch eng3 rr
chengr4 ch eng4 rr
chengr5 ch eng5 rr
chir1 ch iii1 rr
chir2 ch iii2 rr
chir3 ch iii3 rr
chir4 ch iii4 rr
chir5 ch iii5 rr
chongr1 ch ong1 rr
chongr2 ch ong2 rr
chongr3 ch ong3 rr
chongr4 ch ong4 rr
chongr5 ch ong5 rr
chour1 ch ou1 rr
chour2 ch ou2 rr
chour3 ch ou3 rr
chour4 ch ou4 rr
chour5 ch ou5 rr
chur1 ch u1 rr
chur2 ch u2 rr
chur3 ch u3 rr
chur4 ch u4 rr
chur5 ch u5 rr
chuair1 ch uai1 rr
chuair2 ch uai2 rr
chuair3 ch uai3 rr
chuair4 ch uai4 rr
chuair5 ch uai5 rr
chuanr1 ch uan1 rr
chuanr2 ch uan2 rr
chuanr3 ch uan3 rr
chuanr4 ch uan4 rr
chuanr5 ch uan5 rr
chuangr1 ch uang1 rr
chuangr2 ch uang2 rr
chuangr3 ch uang3 rr
chuangr4 ch uang4 rr
chuangr5 ch uang5 rr
chuir1 ch uei1 rr
chuir2 ch uei2 rr
chuir3 ch uei3 rr
chuir4 ch uei4 rr
chuir5 ch uei5 rr
chunr1 ch uen1 rr
chunr2 ch uen2 rr
chunr3 ch uen3 rr
chunr4 ch uen4 rr
chunr5 ch uen5 rr
chuor1 ch uo1 rr
chuor2 ch uo2 rr
chuor3 ch uo3 rr
chuor4 ch uo4 rr
chuor5 ch uo5 rr
cir1 c ii1 rr
cir2 c ii2 rr
cir3 c ii3 rr
cir4 c ii4 rr
cir5 c ii5 rr
congr1 c ong1 rr
congr2 c ong2 rr
congr3 c ong3 rr
congr4 c ong4 rr
congr5 c ong5 rr
cour1 c ou1 rr
cour2 c ou2 rr
cour3 c ou3 rr
cour4 c ou4 rr
cour5 c ou5 rr
cur1 c u1 rr
cur2 c u2 rr
cur3 c u3 rr
cur4 c u4 rr
cur5 c u5 rr
cuanr1 c uan1 rr
cuanr2 c uan2 rr
cuanr3 c uan3 rr
cuanr4 c uan4 rr
cuanr5 c uan5 rr
cuir1 c uei1 rr
cuir2 c uei2 rr
cuir3 c uei3 rr
cuir4 c uei4 rr
cuir5 c uei5 rr
cunr1 c uen1 rr
cunr2 c uen2 rr
cunr3 c uen3 rr
cunr4 c uen4 rr
cunr5 c uen5 rr
cuor1 c uo1 rr
cuor2 c uo2 rr
cuor3 c uo3 rr
cuor4 c uo4 rr
cuor5 c uo5 rr
dar1 d a1 rr
dar2 d a2 rr
dar3 d a3 rr
dar4 d a4 rr
dar5 d a5 rr
dair1 d ai1 rr
dair2 d ai2 rr
dair3 d ai3 rr
dair4 d ai4 rr
dair5 d ai5 rr
danr1 d an1 rr
danr2 d an2 rr
danr3 d an3 rr
danr4 d an4 rr
danr5 d an5 rr
dangr1 d ang1 rr
dangr2 d ang2 rr
dangr3 d ang3 rr
dangr4 d ang4 rr
dangr5 d ang5 rr
daor1 d ao1 rr
daor2 d ao2 rr
daor3 d ao3 rr
daor4 d ao4 rr
daor5 d ao5 rr
der1 d e1 rr
der2 d e2 rr
der3 d e3 rr
der4 d e4 rr
der5 d e5 rr
deir1 d ei1 rr
deir2 d ei2 rr
deir3 d ei3 rr
deir4 d ei4 rr
deir5 d ei5 rr
denr1 d en1 rr
denr2 d en2 rr
denr3 d en3 rr
denr4 d en4 rr
denr5 d en5 rr
dengr1 d eng1 rr
dengr2 d eng2 rr
dengr3 d eng3 rr
dengr4 d eng4 rr
dengr5 d eng5 rr
dir1 d i1 rr
dir2 d i2 rr
dir3 d i3 rr
dir4 d i4 rr
dir5 d i5 rr
diar1 d ia1 rr
diar2 d ia2 rr
diar3 d ia3 rr
diar4 d ia4 rr
diar5 d ia5 rr
dianr1 d ian1 rr
dianr2 d ian2 rr
dianr3 d ian3 rr
dianr4 d ian4 rr
dianr5 d ian5 rr
diaor1 d iao1 rr
diaor2 d iao2 rr
diaor3 d iao3 rr
diaor4 d iao4 rr
diaor5 d iao5 rr
dier1 d ie1 rr
dier2 d ie2 rr
dier3 d ie3 rr
dier4 d ie4 rr
dier5 d ie5 rr
dingr1 d ing1 rr
dingr2 d ing2 rr
dingr3 d ing3 rr
dingr4 d ing4 rr
dingr5 d ing5 rr
diur1 d iou1 rr
diur2 d iou2 rr
diur3 d iou3 rr
diur4 d iou4 rr
diur5 d iou5 rr
dongr1 d ong1 rr
dongr2 d ong2 rr
dongr3 d ong3 rr
dongr4 d ong4 rr
dongr5 d ong5 rr
dour1 d ou1 rr
dour2 d ou2 rr
dour3 d ou3 rr
dour4 d ou4 rr
dour5 d ou5 rr
dur1 d u1 rr
dur2 d u2 rr
dur3 d u3 rr
dur4 d u4 rr
dur5 d u5 rr
duanr1 d uan1 rr
duanr2 d uan2 rr
duanr3 d uan3 rr
duanr4 d uan4 rr
duanr5 d uan5 rr
duir1 d uei1 rr
duir2 d uei2 rr
duir3 d uei3 rr
duir4 d uei4 rr
duir5 d uei5 rr
dunr1 d uen1 rr
dunr2 d uen2 rr
dunr3 d uen3 rr
dunr4 d uen4 rr
dunr5 d uen5 rr
duor1 d uo1 rr
duor2 d uo2 rr
duor3 d uo3 rr
duor4 d uo4 rr
duor5 d uo5 rr
er1 e1 rr
er2 e2 rr
er3 e3 rr
er4 e4 rr
er5 e5 rr
eir1 ei1 rr
eir2 ei2 rr
eir3 ei3 rr
eir4 ei4 rr
eir5 ei5 rr
enr1 en1 rr
enr2 en2 rr
enr3 en3 rr
enr4 en4 rr
enr5 en5 rr
engr1 eng1 rr
engr2 eng2 rr
engr3 eng3 rr
engr4 eng4 rr
engr5 eng5 rr
far1 f a1 rr
far2 f a2 rr
far3 f a3 rr
far4 f a4 rr
far5 f a5 rr
fanr1 f an1 rr
fanr2 f an2 rr
fanr3 f an3 rr
fanr4 f an4 rr
fanr5 f an5 rr
fangr1 f ang1 rr
fangr2 f ang2 rr
fangr3 f ang3 rr
fangr4 f ang4 rr
fangr5 f ang5 rr
feir1 f ei1 rr
feir2 f ei2 rr
feir3 f ei3 rr
feir4 f ei4 rr
feir5 f ei5 rr
fenr1 f en1 rr
fenr2 f en2 rr
fenr3 f en3 rr
fenr4 f en4 rr
fenr5 f en5 rr
fengr1 f eng1 rr
fengr2 f eng2 rr
fengr3 f eng3 rr
fengr4 f eng4 rr
fengr5 f eng5 rr
for1 f o1 rr
for2 f o2 rr
for3 f o3 rr
for4 f o4 rr
for5 f o5 rr
four1 f ou1 rr
four2 f ou2 rr
four3 f ou3 rr
four4 f ou4 rr
four5 f ou5 rr
fur1 f u1 rr
fur2 f u2 rr
fur3 f u3 rr
fur4 f u4 rr
fur5 f u5 rr
gar1 g a1 rr
gar2 g a2 rr
gar3 g a3 rr
gar4 g a4 rr
gar5 g a5 rr
gair1 g ai1 rr
gair2 g ai2 rr
gair3 g ai3 rr
gair4 g ai4 rr
gair5 g ai5 rr
ganr1 g an1 rr
ganr2 g an2 rr
ganr3 g an3 rr
ganr4 g an4 rr
ganr5 g an5 rr
gangr1 g ang1 rr
gangr2 g ang2 rr
gangr3 g ang3 rr
gangr4 g ang4 rr
gangr5 g ang5 rr
gaor1 g ao1 rr
gaor2 g ao2 rr
gaor3 g ao3 rr
gaor4 g ao4 rr
gaor5 g ao5 rr
ger1 g e1 rr
ger2 g e2 rr
ger3 g e3 rr
ger4 g e4 rr
ger5 g e5 rr
geir1 g ei1 rr
geir2 g ei2 rr
geir3 g ei3 rr
geir4 g ei4 rr
geir5 g ei5 rr
genr1 g en1 rr
genr2 g en2 rr
genr3 g en3 rr
genr4 g en4 rr
genr5 g en5 rr
gengr1 g eng1 rr
gengr2 g eng2 rr
gengr3 g eng3 rr
gengr4 g eng4 rr
gengr5 g eng5 rr
gongr1 g ong1 rr
gongr2 g ong2 rr
gongr3 g ong3 rr
gongr4 g ong4 rr
gongr5 g ong5 rr
gour1 g ou1 rr
gour2 g ou2 rr
gour3 g ou3 rr
gour4 g ou4 rr
gour5 g ou5 rr
gur1 g u1 rr
gur2 g u2 rr
gur3 g u3 rr
gur4 g u4 rr
gur5 g u5 rr
guar1 g ua1 rr
guar2 g ua2 rr
guar3 g ua3 rr
guar4 g ua4 rr
guar5 g ua5 rr
guair1 g uai1 rr
guair2 g uai2 rr
guair3 g uai3 rr
guair4 g uai4 rr
guair5 g uai5 rr
guanr1 g uan1 rr
guanr2 g uan2 rr
guanr3 g uan3 rr
guanr4 g uan4 rr
guanr5 g uan5 rr
guangr1 g uang1 rr
guangr2 g uang2 rr
guangr3 g uang3 rr
guangr4 g uang4 rr
guangr5 g uang5 rr
guir1 g uei1 rr
guir2 g uei2 rr
guir3 g uei3 rr
guir4 g uei4 rr
guir5 g uei5 rr
gunr1 g uen1 rr
gunr2 g uen2 rr
gunr3 g uen3 rr
gunr4 g uen4 rr
gunr5 g uen5 rr
guor1 g uo1 rr
guor2 g uo2 rr
guor3 g uo3 rr
guor4 g uo4 rr
guor5 g uo5 rr
har1 h a1 rr
har2 h a2 rr
har3 h a3 rr
har4 h a4 rr
har5 h a5 rr
hair1 h ai1 rr
hair2 h ai2 rr
hair3 h ai3 rr
hair4 h ai4 rr
hair5 h ai5 rr
hanr1 h an1 rr
hanr2 h an2 rr
hanr3 h an3 rr
hanr4 h an4 rr
hanr5 h an5 rr
hangr1 h ang1 rr
hangr2 h ang2 rr
hangr3 h ang3 rr
hangr4 h ang4 rr
hangr5 h ang5 rr
haor1 h ao1 rr
haor2 h ao2 rr
haor3 h ao3 rr
haor4 h ao4 rr
haor5 h ao5 rr
her1 h e1 rr
her2 h e2 rr
her3 h e3 rr
her4 h e4 rr
her5 h e5 rr
heir1 h ei1 rr
heir2 h ei2 rr
heir3 h ei3 rr
heir4 h ei4 rr
heir5 h ei5 rr
henr1 h en1 rr
henr2 h en2 rr
henr3 h en3 rr
henr4 h en4 rr
henr5 h en5 rr
hengr1 h eng1 rr
hengr2 h eng2 rr
hengr3 h eng3 rr
hengr4 h eng4 rr
hengr5 h eng5 rr
hongr1 h ong1 rr
hongr2 h ong2 rr
hongr3 h ong3 rr
hongr4 h ong4 rr
hongr5 h ong5 rr
hour1 h ou1 rr
hour2 h ou2 rr
hour3 h ou3 rr
hour4 h ou4 rr
hour5 h ou5 rr
hur1 h u1 rr
hur2 h u2 rr
hur3 h u3 rr
hur4 h u4 rr
hur5 h u5 rr
huar1 h ua1 rr
huar2 h ua2 rr
huar3 h ua3 rr
huar4 h ua4 rr
huar5 h ua5 rr
huair1 h uai1 rr
huair2 h uai2 rr
huair3 h uai3 rr
huair4 h uai4 rr
huair5 h uai5 rr
huanr1 h uan1 rr
huanr2 h uan2 rr
huanr3 h uan3 rr
huanr4 h uan4 rr
huanr5 h uan5 rr
huangr1 h uang1 rr
huangr2 h uang2 rr
huangr3 h uang3 rr
huangr4 h uang4 rr
huangr5 h uang5 rr
huir1 h uei1 rr
huir2 h uei2 rr
huir3 h uei3 rr
huir4 h uei4 rr
huir5 h uei5 rr
hunr1 h uen1 rr
hunr2 h uen2 rr
hunr3 h uen3 rr
hunr4 h uen4 rr
hunr5 h uen5 rr
huor1 h uo1 rr
huor2 h uo2 rr
huor3 h uo3 rr
huor4 h uo4 rr
huor5 h uo5 rr
jir1 j i1 rr
jir2 j i2 rr
jir3 j i3 rr
jir4 j i4 rr
jir5 j i5 rr
jiar1 j ia1 rr
jiar2 j ia2 rr
jiar3 j ia3 rr
jiar4 j ia4 rr
jiar5 j ia5 rr
jianr1 j ian1 rr
jianr2 j ian2 rr
jianr3 j ian3 rr
jianr4 j ian4 rr
jianr5 j ian5 rr
jiangr1 j iang1 rr
jiangr2 j iang2 rr
jiangr3 j iang3 rr
jiangr4 j iang4 rr
jiangr5 j iang5 rr
jiaor1 j iao1 rr
jiaor2 j iao2 rr
jiaor3 j iao3 rr
jiaor4 j iao4 rr
jiaor5 j iao5 rr
jier1 j ie1 rr
jier2 j ie2 rr
jier3 j ie3 rr
jier4 j ie4 rr
jier5 j ie5 rr
jinr1 j in1 rr
jinr2 j in2 rr
jinr3 j in3 rr
jinr4 j in4 rr
jinr5 j in5 rr
jingr1 j ing1 rr
jingr2 j ing2 rr
jingr3 j ing3 rr
jingr4 j ing4 rr
jingr5 j ing5 rr
jiongr1 j iong1 rr
jiongr2 j iong2 rr
jiongr3 j iong3 rr
jiongr4 j iong4 rr
jiongr5 j iong5 rr
jiur1 j iou1 rr
jiur2 j iou2 rr
jiur3 j iou3 rr
jiur4 j iou4 rr
jiur5 j iou5 rr
jur1 j v1 rr
jur2 j v2 rr
jur3 j v3 rr
jur4 j v4 rr
jur5 j v5 rr
juanr1 j van1 rr
juanr2 j van2 rr
juanr3 j van3 rr
juanr4 j van4 rr
juanr5 j van5 rr
juer1 j ve1 rr
juer2 j ve2 rr
juer3 j ve3 rr
juer4 j ve4 rr
juer5 j ve5 rr
junr1 j vn1 rr
junr2 j vn2 rr
junr3 j vn3 rr
junr4 j vn4 rr
junr5 j vn5 rr
kar1 k a1 rr
kar2 k a2 rr
kar3 k a3 rr
kar4 k a4 rr
kar5 k a5 rr
kair1 k ai1 rr
kair2 k ai2 rr
kair3 k ai3 rr
kair4 k ai4 rr
kair5 k ai5 rr
kanr1 k an1 rr
kanr2 k an2 rr
kanr3 k an3 rr
kanr4 k an4 rr
kanr5 k an5 rr
kangr1 k ang1 rr
kangr2 k ang2 rr
kangr3 k ang3 rr
kangr4 k ang4 rr
kangr5 k ang5 rr
kaor1 k ao1 rr
kaor2 k ao2 rr
kaor3 k ao3 rr
kaor4 k ao4 rr
kaor5 k ao5 rr
ker1 k e1 rr
ker2 k e2 rr
ker3 k e3 rr
ker4 k e4 rr
ker5 k e5 rr
keir1 k ei1 rr
keir2 k ei2 rr
keir3 k ei3 rr
keir4 k ei4 rr
keir5 k ei5 rr
kenr1 k en1 rr
kenr2 k en2 rr
kenr3 k en3 rr
kenr4 k en4 rr
kenr5 k en5 rr
kengr1 k eng1 rr
kengr2 k eng2 rr
kengr3 k eng3 rr
kengr4 k eng4 rr
kengr5 k eng5 rr
kongr1 k ong1 rr
kongr2 k ong2 rr
kongr3 k ong3 rr
kongr4 k ong4 rr
kongr5 k ong5 rr
kour1 k ou1 rr
kour2 k ou2 rr
kour3 k ou3 rr
kour4 k ou4 rr
kour5 k ou5 rr
